,artist,genres
56,Biz Markie,hardcore hip hop
56,Biz Markie,hip hop
56,Biz Markie,old school hip hop
56,Biz Markie,rap
57,Biz Markie,east coast hip hop
57,Biz Markie,electro
57,Biz Markie,gangster rap
57,Biz Markie,golden age hip hop
57,Biz Markie,hardcore hip hop
57,Biz Markie,hip hop
57,Biz Markie,old school hip hop
57,Biz Markie,rap
58,Biz Markie,east coast hip hop
58,Biz Markie,electro
58,Biz Markie,gangster rap
58,Biz Markie,golden age hip hop
58,Biz Markie,hardcore hip hop
58,Biz Markie,hip hop
58,Biz Markie,old school hip hop
58,Biz Markie,rap
59,Biz Markie,east coast hip hop
59,Biz Markie,electro
59,Biz Markie,gangster rap
59,Biz Markie,golden age hip hop
59,Biz Markie,hardcore hip hop
59,Biz Markie,hip hop
59,Biz Markie,old school hip hop
59,Biz Markie,rap
60,Biz Markie,east coast hip hop
60,Biz Markie,electro
60,Biz Markie,gangster rap
60,Biz Markie,golden age hip hop
60,Biz Markie,hardcore hip hop
60,Biz Markie,hip hop
60,Biz Markie,old school hip hop
60,Biz Markie,rap
61,SR-71,pop punk
62,SR-71,pop punk
63,SR-71,pop punk
64,SR-71,pop punk
65,SR-71,pop punk
66,SR-71,pop punk
67,SR-71,pop punk
68,SR-71,pop punk
69,Macy Gray,neo soul
70,Macy Gray,neo soul
71,Macy Gray,neo soul
72,Macy Gray,neo soul
73,Macy Gray,neo soul
74,Frah Quintale,italian hip hop
74,Frah Quintale,italian indie pop
74,Frah Quintale,milan indie
75,Frah Quintale,italian hip hop
75,Frah Quintale,italian indie pop
75,Frah Quintale,milan indie
76,Frah Quintale,italian hip hop
76,Frah Quintale,italian indie pop
76,Frah Quintale,milan indie
77,Frah Quintale,italian hip hop
77,Frah Quintale,italian indie pop
77,Frah Quintale,milan indie
78,Emancipator,downtempo
78,Emancipator,electronica
78,Emancipator,livetronica
78,Emancipator,nu jazz
78,Emancipator,trip hop
79,Emancipator,downtempo
79,Emancipator,electronica
79,Emancipator,livetronica
79,Emancipator,nu jazz
79,Emancipator,trip hop
80,Emancipator,downtempo
80,Emancipator,electronica
80,Emancipator,livetronica
80,Emancipator,nu jazz
80,Emancipator,trip hop
81,Twenty One Pilots,modern rock
