,endTime,year,month,day,hour,artist,album,track,genres,minutesPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1040,2021-05-15 18:36:00,2021,5,15,18,"Lucie,Too",LUCKY,Lucky,"['j-indie', 'japanese alternative rock', 'japanese indie rock']",1.64,5jkuq8q8itgaOxZtg8fsT7,0.461,0.89,11,-4.822,0,0.0336,0.0346,4.86e-06,0.14,0.879,92.483
1041,2021-08-09 19:43:00,2021,8,9,19,"Lucie,Too",LUCKY,Lucky,"['j-indie', 'japanese alternative rock', 'japanese indie rock']",1.64,5jkuq8q8itgaOxZtg8fsT7,0.461,0.89,11,-4.822,0,0.0336,0.0346,4.86e-06,0.14,0.879,92.483
1042,2021-09-07 17:41:00,2021,9,7,17,"Lucie,Too",LUCKY,Lucky,"['j-indie', 'japanese alternative rock', 'japanese indie rock']",1.64,5jkuq8q8itgaOxZtg8fsT7,0.461,0.89,11,-4.822,0,0.0336,0.0346,4.86e-06,0.14,0.879,92.483
1043,2021-09-19 09:28:00,2021,9,19,9,"Lucie,Too",LUCKY,Lucky,"['j-indie', 'japanese alternative rock', 'japanese indie rock']",1.64,5jkuq8q8itgaOxZtg8fsT7,0.461,0.89,11,-4.822,0,0.0336,0.0346,4.86e-06,0.14,0.879,92.483
1044,2021-05-01 19:23:00,2021,5,1,19,Hidetake Takayama,Right Time + Right Music,Motion (feat. Raashan Ahmad from Crown City Rockers & Shea Soul),['ambeat'],0.41,5WDgFY9IOyW98fVCdXVvXy,0.551,0.686,9,-5.926,0,0.0414,0.323,1.74e-06,0.24,0.724,81.984
1045,2021-08-16 13:28:00,2021,8,16,13,Hidetake Takayama,Right Time + Right Music,Motion (feat. Raashan Ahmad from Crown City Rockers & Shea Soul),['ambeat'],0.04,5WDgFY9IOyW98fVCdXVvXy,0.551,0.686,9,-5.926,0,0.0414,0.323,1.74e-06,0.24,0.724,81.984
1046,2021-05-03 13:14:00,2021,5,3,13,Muse,Origin of Symmetry,Feeling Good,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",3.31,5PK1JCSdr34gWgzYHgt3Jq,0.345,0.418,7,-7.787,0,0.0316,0.299,1.75e-05,0.103,0.267,109.044
1047,2021-06-07 21:48:00,2021,6,7,21,Muse,Origin of Symmetry,Feeling Good,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",3.31,5PK1JCSdr34gWgzYHgt3Jq,0.345,0.418,7,-7.787,0,0.0316,0.299,1.75e-05,0.103,0.267,109.044
1048,2021-09-07 18:04:00,2021,9,7,18,Muse,Origin of Symmetry,Feeling Good,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",0.02,5PK1JCSdr34gWgzYHgt3Jq,0.345,0.418,7,-7.787,0,0.0316,0.299,1.75e-05,0.103,0.267,109.044
1049,2021-05-04 14:09:00,2021,5,4,14,The National,Day of the Dead,Morning Dew,"['indie rock', 'modern rock', 'stomp and holler']",1.6,1kyaGbDsB3ZyjyDYRQaHSe,0.398,0.667,7,-7.004,1,0.0292,0.167,0.781,0.309,0.426,82.01
1050,2021-05-28 01:06:00,2021,5,28,1,The National,Day of the Dead,Morning Dew,"['indie rock', 'modern rock', 'stomp and holler']",5.58,1kyaGbDsB3ZyjyDYRQaHSe,0.398,0.667,7,-7.004,1,0.0292,0.167,0.781,0.309,0.426,82.01
1051,2021-06-13 13:20:00,2021,6,13,13,The National,Day of the Dead,Morning Dew,"['indie rock', 'modern rock', 'stomp and holler']",0.75,1kyaGbDsB3ZyjyDYRQaHSe,0.398,0.667,7,-7.004,1,0.0292,0.167,0.781,0.309,0.426,82.01
1052,2021-07-12 22:07:00,2021,7,12,22,The National,Day of the Dead,Morning Dew,"['indie rock', 'modern rock', 'stomp and holler']",1.28,1kyaGbDsB3ZyjyDYRQaHSe,0.398,0.667,7,-7.004,1,0.0292,0.167,0.781,0.309,0.426,82.01
1053,2021-05-05 00:33:00,2021,5,5,0,Los Pericos,Calamaro Querido!! Cantando Al Salmón Parte 2,Flaca,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']",3.63,0Ei31PO8ZK9ViM0pbuH94x,0.83,0.706,7,-6.97,1,0.0332,0.0433,5.6e-05,0.0761,0.851,110.009
